category,accuracy,precision,recall,f1
plants,0.87,0.79,1.00,0.88
medicine,0.93,0.91,0.96,0.93
phones,0.91,0.85,1.00,0.92
religion,0.98,0.96,1.00,0.98
wars,0.96,0.94,0.98,0.96
fantasy,0.89,0.82,1.00,0.90
cities,0.83,0.75,1.00,0.86
weather,0.90,0.85,0.98,0.91
fruit,0.97,0.96,0.98,0.97
animal,0.98,0.96,1.00,0.98
mountains,0.93,0.88,1.00,0.94
sentence_100,0.57,0.62,0.36,0.46
sentence_25,0.44,0.44,0.49,0.47
sentence_decimal,0.58,0.35,0.23,0.28
sentence_comma,0.50,0.50,0.25,0.34
sentence_special,0.54,0.54,0.55,0.54
